Brand,Model,Status,Screen Size,Processor Type,RAM Size,Graphic Card,Hard Drive,Warranty Status,Delivery
Apple,Macbook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,AMD,1 TB,Còn bảo hành,Không giao hàng
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,Onboard,1 TB,Còn bảo hành,Không giao hàng
Dell,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,Onboard,1 TB,Còn bảo hành,Không giao hàng
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Apple,Macbook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,AMD,512 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
HP,Pavilion,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,1 TB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Asus,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,< 128 GB,Còn bảo hành,Không giao hàng
Asus,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,< 128 GB,Còn bảo hành,Không giao hàng
Apple,Macbook Pro Touch Bar,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i9,16 GB,AMD,1 TB,Còn bảo hành,Không giao hàng
Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
Dell,XPS,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng
Dell,XPS,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Còn bảo hành,Không giao hàng
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,16 GB,Khác,512 GB,Còn bảo hành,Không giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,4 GB,Onboard,500 GB,Còn bảo hành,Không giao hàng
HP,Elitebook,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Asus,FX Series/ZX Series,Đã sử dụng (qua sửa chữa),15 - 16.9 inch,Ryzen 7,6 GB,NVIDIA,512 GB,Còn bảo hành,Không giao hàng
HP,Pavilion,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,8 GB,NVIDIA,256 GB,Còn bảo hành,Không giao hàng
Acer,Aspire,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Còn bảo hành,Không giao hàng
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,AMD,256 GB,Còn bảo hành,Không giao hàng
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng
Dell,Vostro,Mới,15 - 16.9 inch,Intel Core i7,8 GB,AMD,256 GB,Còn bảo hành,Tự giao hàng
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Tự giao hàng
Dell,Vostro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,> 1 TB,Còn bảo hành,Dùng dịch vụ giao hàng
HP,Elitebook,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,8 GB,AMD,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Asus,ASUSPRO,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Asus,K series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,500 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Apple,Dòng Khác,Đã sử dụng (chưa sửa chữa),>= 21 inch,Intel Core i5,8 GB,NVIDIA,1 TB,Còn bảo hành,Không giao hàng
Panasonic,CF,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,250 GB,Còn bảo hành,Không giao hàng
Dell,XPS,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,250 GB,Còn bảo hành,Tự giao hàng
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,512 GB,Còn bảo hành,Dùng dịch vụ giao hàng
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core 2 Duo,4 GB,Onboard,250 GB,Còn bảo hành,Dùng dịch vụ giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,8 GB,AMD,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Hãng Khác,Dòng Khác,Mới,15 - 16.9 inch,AMD,8 GB,Onboard,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Sony,Dòng Khác,Đã sử dụng (qua sửa chữa),15 - 16.9 inch,AMD,8 GB,Onboard,256 GB,Còn bảo hành,Dùng dịch vụ giao hàng
HP,Elitebook,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Còn bảo hành,Tự giao hàng
HP,ProBook,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
HP,ProBook,Mới,15 - 16.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Còn bảo hành,Tự giao hàng
Lenovo,Legion Y Series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,1 TB,Còn bảo hành,Tự giao hàng
HP,Elitebook,Mới,15 - 16.9 inch,Intel Core i5,4 GB,Onboard,256 GB,Còn bảo hành,Tự giao hàng
Dell,Vostro,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Còn bảo hành,Tự giao hàng
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Tự giao hàng
Hãng Khác,Dòng Khác,Mới,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng
HP,Compaq,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,500 GB,Còn bảo hành,Không giao hàng
HP,Compaq,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,500 GB,Còn bảo hành,Không giao hàng
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,16 GB,Khác,256 GB,Còn bảo hành,Không giao hàng
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,16 GB,Khác,256 GB,Hết bảo hành,Không giao hàng
Dell,Vostro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,320 GB,Hết bảo hành,Không giao hàng
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Hết bảo hành,Không giao hàng
Asus,N series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,NVIDIA,128 GB,Hết bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
HP,ProBook,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Hết bảo hành,Không giao hàng
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core 2 Duo,2 GB,AMD,128 GB,Hết bảo hành,Không giao hàng
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core 2 Duo,2 GB,AMD,128 GB,Hết bảo hành,Không giao hàng
HP,Elitebook,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i3,4 GB,Onboard,< 128 GB,Hết bảo hành,Không giao hàng
Dell,Vostro,Mới,11 - 12.9 inch,Intel Core i7,4 GB,Onboard,128 GB,Hết bảo hành,Không giao hàng
Lenovo,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,250 GB,Hết bảo hành,Không giao hàng
Toshiba,Satellite Series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core 2 Duo,4 GB,Onboard,250 GB,Hết bảo hành,Không giao hàng
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Hết bảo hành,Không giao hàng
Dell,Alienware,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Hết bảo hành,Không giao hàng
Dell,Alienware,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Hết bảo hành,Không giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Hết bảo hành,Không giao hàng
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Hết bảo hành,Không giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Hết bảo hành,Không giao hàng
Toshiba,Satellite Series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Hết bảo hành,Không giao hàng
Dell,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Hết bảo hành,Không giao hàng
Dell,Vostro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,8 GB,Onboard,320 GB,Hết bảo hành,Không giao hàng
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,AMD,16 GB,AMD,512 GB,Hết bảo hành,Không giao hàng
HP,Spectre,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Khác,512 GB,Hết bảo hành,Không giao hàng
Dell,XPS,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Xeon,16 GB,NVIDIA,128 GB,Hết bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Acer,Aspire,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,500 GB,Hết bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
HP,ProBook,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,16 GB,Onboard,256 GB,Còn bảo hành,Tự giao hàng
HP,Elitebook,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i7,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
Acer,Helios,Đã sử dụng (chưa sửa chữa),17 - 18.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Còn bảo hành,Không giao hàng
Asus,X series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Celeron,4 GB,Onboard,500 GB,Còn bảo hành,Không giao hàng
HP,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Celeron,4 GB,Onboard,500 GB,Còn bảo hành,Không giao hàng
Samsung,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,250 GB,Còn bảo hành,Dùng dịch vụ giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Dell,Precision,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
HP,Elitebook,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,16 GB,AMD,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
Asus,Zenbook Series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Còn bảo hành,Tự giao hàng
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
Acer,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,512 GB,Còn bảo hành,Tự giao hàng
MSI,GS Series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
MSI,GS Series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,1 TB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,AMD,1 TB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
MSI,GF Series,Đã sử dụng (qua sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Còn bảo hành,Không giao hàng
MSI,GF Series,Đã sử dụng (qua sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Còn bảo hành,Không giao hàng
Asus,VivoBook S Series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,< 128 GB,Còn bảo hành,Không giao hàng
Dell,Precision Mobile Workstations,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,32 GB,NVIDIA,512 GB,Còn bảo hành,Không giao hàng
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,8 GB,Onboard,512 GB,Còn bảo hành,Không giao hàng
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
Acer,Aspire,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,500 GB,Còn bảo hành,Tự giao hàng
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Tự giao hàng
HP,Envy,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Ryzen 5,8 GB,AMD,256 GB,Còn bảo hành,Không giao hàng
HP,ProBook,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Còn bảo hành,Tự giao hàng
Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
HP,Elitebook,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng
Lenovo,Yoga,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng
Acer,Dòng Khác,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,2 GB,Onboard,500 GB,Còn bảo hành,Không giao hàng
Acer,Aspire,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng
Dell,Latitude,Mới,11 - 12.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Còn bảo hành,Tự giao hàng
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Còn bảo hành,Tự giao hàng
MSI,Dòng Khác,Mới,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Còn bảo hành,Tự giao hàng
MSI,Dòng Khác,Mới,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,512 GB,Còn bảo hành,Tự giao hàng
Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
HP,Pavilion,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,250 GB,Còn bảo hành,Tự giao hàng
Razer,Blade Stealth,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Còn bảo hành,Tự giao hàng
Asus,S series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Tự giao hàng
Toshiba,Portege,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Còn bảo hành,Tự giao hàng
MSI,GP Series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,8 GB,NVIDIA,750 GB,Còn bảo hành,Tự giao hàng
Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,8 GB,NVIDIA,750 GB,Hết bảo hành,Không giao hàng
MSI,GF Series,Mới,15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,512 GB,Hết bảo hành,Không giao hàng
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,6 GB,Onboard,1 TB,Hết bảo hành,Không giao hàng
Sony,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Khác,128 GB,Hết bảo hành,Không giao hàng
Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Khác,128 GB,Hết bảo hành,Không giao hàng
Dell,Inspiron,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Hết bảo hành,Không giao hàng
Asus,VivoBook S Series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,256 GB,Còn bảo hành,Không giao hàng
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Còn bảo hành,Tự giao hàng
Lenovo,ThinkPad,Mới,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
HP,OMEN,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Hãng Khác,Dòng Khác,Đã sử dụng (chưa sửa chữa),>= 21 inch,Intel Core 2 Duo,4 GB,NVIDIA,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Lenovo,Yoga,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng
Apple,Macbook Air,Mới,13 - 14.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,NVIDIA,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Lenovo,ThinkPad,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,320 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Dell,Precision,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,16 GB,NVIDIA,512 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Asus,A series,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i3,4 GB,Onboard,500 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i7,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng
Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,16 GB,Onboard,512 GB,Còn bảo hành,Không giao hàng
Toshiba,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng
HP,Pavilion,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Dell,XPS,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,8 GB,NVIDIA,256 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,4 GB,NVIDIA,1 TB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i7,4 GB,NVIDIA,1 TB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Acer,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Còn bảo hành,Không giao hàng
Dell,Vostro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Còn bảo hành,Không giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,NVIDIA,128 GB,Còn bảo hành,Không giao hàng
HP,Dòng Khác,Mới,13 - 14.9 inch,Intel Core i5,4 GB,NVIDIA,128 GB,Còn bảo hành,Tự giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,128 GB,Còn bảo hành,Tự giao hàng
HP,ProBook,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,4 GB,Onboard,320 GB,Còn bảo hành,Tự giao hàng
HP,Elitebook,Mới,13 - 14.9 inch,Intel Core i7,8 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,8 GB,Onboard,256 GB,Còn bảo hành,Không giao hàng
Dell,Vostro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Khác,500 GB,Còn bảo hành,Không giao hàng
Dell,Latitude,Đã sử dụng (chưa sửa chữa),11 - 12.9 inch,Intel Core i5,4 GB,Onboard,< 128 GB,Còn bảo hành,Tự giao hoặc đặt dịch vụ giao hàng
Apple,Dòng Khác,Đã sử dụng (chưa sửa chữa),19 - 20.9 inch,Intel Core 2 Duo,4 GB,Onboard,250 GB,Còn bảo hành,Không giao hàng
Asus,X series,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,250 GB,Còn bảo hành,Không giao hàng
Asus,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i3,4 GB,Onboard,250 GB,Còn bảo hành,Không giao hàng
Apple,Macbook Air,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Còn bảo hành,Không giao hàng
Acer,Dòng Khác,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,2 GB,Onboard,250 GB,Còn bảo hành,Không giao hàng
Asus,A series,Mới,13 - 14.9 inch,Intel Core i3,4 GB,Onboard,< 128 GB,Còn bảo hành,Không giao hàng
Acer,Helios,Mới,15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,512 GB,Còn bảo hành,Không giao hàng
Lenovo,IdeaPad,Đã sử dụng (chưa sửa chữa),15 - 16.9 inch,Intel Core i7,8 GB,NVIDIA,1 TB,Còn bảo hành,Dùng dịch vụ giao hàng
Apple,Macbook Pro,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Còn bảo hành,Dùng dịch vụ giao hàng
Acer,Aspire,Đã sử dụng (chưa sửa chữa),13 - 14.9 inch,Intel Core i5,8 GB,Onboard,128 GB,Còn bảo hành,Dùng dịch vụ giao hàng
